user_id,date,screen_time_mins,unlock_counts,sleep_hours,steps,dominant_emotion,emotion_score,dominant_entity,dominant_entity_score,wrote_journal_flag,weekend_flag,label_bad_day
user_1,2024-01-01,264,127,4.066096221061304,10044,Disappointment,0.604302849180674,Organization,0.9109,1,0,1
user_1,2024-01-02,379,153,4.349807494610249,3419,Nervousness,0.5561041419297289,person,0.8574,0,0,0
user_1,2024-01-03,354,160,4.013197233289177,5968,Disappointment,0.8944613122860415,Organization,0.8564,1,0,1
user_1,2024-01-04,349,112,5.593843828670096,3305,Grief,0.9455817913844815,Location,0.2456,1,0,1
user_1,2024-01-05,413,110,4.278276562266879,2751,Annoyance,0.5784507975165999,Organization,0.713,1,0,1
user_1,2024-01-06,404,97,3.932259215450054,2328,Disgust,0.6537517825830491,person,0.5339,0,1,1
user_1,2024-01-07,482,159,4.243018144708818,1263,Grief,0.7289527689304435,person,0.708,1,1,1
user_1,2024-01-08,301,143,3.2263480055308174,3745,Nervousness,0.9115460837491746,person,0.8915,0,0,1
user_1,2024-01-09,371,135,4.5413455269435365,3472,Grief,0.8950315368439029,person,0.7202,0,0,1
user_1,2024-01-10,380,172,3.764437674091061,1910,Grief,0.5070536026151579,Organization,0.7748,1,0,1
user_1,2024-01-11,415,137,4.313181905630415,5308,Disappointment,0.6939949384312523,Organization,0.521,0,0,1
user_1,2024-01-12,182,49,7.282898323771095,11101,Caring,-0.02794378521421541,Location,0.6816,0,0,0
user_1,2024-01-13,211,46,6.106418215707875,7991,Approval,0.014517736293962046,Location,0.8683,1,1,0
user_1,2024-01-14,334,89,6.011440907443505,3549,Relief,-0.6398968146794679,Organization,0.9169,0,1,0
user_1,2024-01-15,415,140,4.938200336826998,11211,Nervousness,0.569904930049218,Organization,0.551,0,0,1
user_1,2024-01-16,307,92,5.609189425509658,2197,Annoyance,0.8939627482455416,Organization,0.6795,1,0,1
user_1,2024-01-17,437,81,3.3303269622615788,2080,Disappointment,0.6239301327799346,Location,0.6282,1,0,1
user_1,2024-01-18,497,125,3.0,3309,Grief,0.7113548399557165,Organization,0.8595,1,0,1
user_1,2024-01-19,525,189,3.7744205707955008,2132,Sadness,0.6793185554687273,Organization,0.7752,0,0,1
user_1,2024-01-20,602,196,4.27587039995546,2675,Fear,0.3988617779198825,Organization,0.7688,1,1,1
user_1,2024-01-21,693,219,4.600130874869414,2207,Remorse,0.8708389261352932,Organization,0.8114,0,1,1
user_1,2024-01-22,358,118,3.7684193189573003,4334,Anger,0.8651534219708079,Organization,0.9654,1,0,1
user_1,2024-01-23,477,120,4.824286696441999,3900,Nervousness,0.7790516922812755,Organization,0.8866,1,0,1
user_1,2024-01-24,501,191,4.576950367127874,2133,Disappointment,0.41911510882719266,Organization,0.6155,1,0,1
user_1,2024-01-25,400,116,3.0651291501522895,7430,Grief,0.771837036528489,Organization,0.4423,1,0,1
user_1,2024-01-26,253,109,5.455739612408496,5437,Disappointment,0.637455355382592,person,0.886,1,0,1
user_1,2024-01-27,459,116,7.695211944962528,4635,Grief,0.6442403853546619,Organization,0.7769,0,1,1
user_1,2024-01-28,368,109,4.224609360642517,6823,Annoyance,0.4213418811007403,person,0.7199,1,1,1
user_1,2024-01-29,410,189,4.255096653404559,1506,Sadness,0.4088616786048717,Organization,0.6406,1,0,1
user_1,2024-01-30,422,99,4.0172205058529205,4369,Nervousness,0.9479983750124035,person,0.6306,0,0,0
user_1,2024-01-31,294,96,3.0,7395,Anger,0.4572976032662362,person,0.9039,1,0,0
user_1,2024-02-01,188,53,7.200875793833076,8636,Caring,0.11113669107053627,Organization,0.6182,0,0,1
user_1,2024-02-02,199,100,8.636754356277233,5824,Excitement,-0.898809833484276,Location,0.6287,0,0,0
user_1,2024-02-03,413,80,5.678852982872661,3628,Pride,-0.785962655737354,Location,0.6428,0,1,0
user_1,2024-02-04,410,143,4.359492110794799,3872,Anger,0.7110526947261913,Organization,0.6404,0,1,1
user_1,2024-02-05,489,148,4.223436250401349,2897,Disappointment,0.5716493810017387,Organization,0.824,1,0,1
user_1,2024-02-06,260,85,6.198725399571118,2792,Excitement,-0.9820681842997148,Organization,0.56,0,0,0
user_1,2024-02-07,250,159,6.445231885498286,2927,Grief,0.7932197925672135,Location,0.7378,1,0,0
user_1,2024-02-08,259,126,5.4386337173576935,13615,Love,-0.7175911629339058,person,0.3657,1,0,0
user_1,2024-02-09,202,51,6.926694360151977,8755,Realization,0.01181167415214741,Organization,0.8953,1,0,0
user_1,2024-02-10,152,93,7.995108084794611,9568,Curiosity,0.04430799479972462,Organization,0.5253,0,1,0
user_1,2024-02-11,140,62,7.568486480484217,9214,Approval,0.010282096871398229,person,0.7636,0,1,1
user_1,2024-02-12,179,32,7.7967343652180325,11117,Pride,-0.9576388969432944,Organization,0.7827,0,0,0
user_1,2024-02-13,194,62,7.712108202145396,6350,Approval,-0.018066221735357327,Location,0.8095,0,0,0
user_1,2024-02-14,61,37,8.57730489531831,30943,Curiosity,-0.08871131942204565,person,0.642,0,0,0
user_1,2024-02-15,57,23,8.975029360711261,15109,Desire,-0.043190652503682515,Organization,0.8824,0,0,0
user_1,2024-02-16,137,89,9.89953703247795,5530,Optimism,-0.8042383262575872,person,0.9601,0,0,0
user_1,2024-02-17,149,83,7.631872630659464,10240,Admiration,-0.7165726664268651,person,0.607,1,1,0
user_1,2024-02-18,198,56,6.692744966620116,4845,Disappointment,0.7212170973741077,Organization,0.4763,0,1,1
user_1,2024-02-19,372,191,5.438623461822614,4484,Anger,0.34841759067823597,Organization,0.632,1,0,1
user_1,2024-02-20,472,174,4.064163151384767,2195,Disgust,0.5217450381636877,Organization,0.3076,1,0,1
user_1,2024-02-21,415,88,3.645279498786227,3934,Disappointment,0.843095063175021,Location,0.8781,0,0,1
user_1,2024-02-22,410,108,4.585725652062148,1845,Sadness,0.8329846799816425,Organization,0.6285,1,0,1
user_1,2024-02-23,476,177,3.768123239437786,2031,Remorse,0.48800057733045205,Organization,0.4986,1,0,1
user_1,2024-02-24,476,100,4.867468287918404,2305,Remorse,0.866559971349757,person,0.8171,0,1,1
user_1,2024-02-25,435,91,3.5716139530866036,2228,Grief,0.912676807146972,Organization,0.8399,1,1,1
user_1,2024-02-26,458,134,3.7222266102565666,847,Grief,0.3356469486066417,Organization,0.4452,0,0,1
